_RAJ2000,_DEJ2000,SDSS,S_N,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,E_B-V_,pm
8.2812,-0.7926,003310.58-004818.55,13,20.645,0.055,19.679,0.022,19.555,0.034,19.549,0.030,19.490,0.063,0.021,1.900
40.0070,0.3572,024002.92+002050.50,17,20.330,0.050,19.470,0.020,19.310,0.020,19.240,0.020,19.360,0.060,0.030,0.000
114.8989,37.7119,073929.46+374511.15,15,20.356,0.050,19.714,0.020,19.453,0.019,19.333,0.020,19.326,0.057,0.064,9.700
114.4005,39.4812,073738.58+392944.34,13,21.187,0.085,20.017,0.020,19.920,0.022,19.964,0.029,19.935,0.097,0.052,2.600
126.4454,38.9211,082543.50+385609.99,15,20.062,0.040,19.488,0.019,19.276,0.020,19.247,0.021,19.196,0.043,0.043,49.100
139.2422,-2.1377,091650.95-021042.78,16,19.969,0.045,19.478,0.018,19.396,0.019,19.434,0.026,19.493,0.089,0.041,24.400
186.3572,-1.5968,122526.86-013749.49,13,20.892,0.069,19.963,0.021,19.881,0.023,19.860,0.033,19.990,0.116,0.029,5.800
166.2095,0.5379,110440.66+003058.21,14,20.581,0.074,19.540,0.021,19.337,0.021,19.363,0.022,19.309,0.050,0.047,5.500
177.6450,0.0208,115044.45+000244.30,11,20.600,0.070,19.560,0.030,19.530,0.020,19.540,0.020,19.630,0.060,0.019,0.000
227.7662,27.6001,151116.46+273601.59,13,20.921,0.073,19.802,0.036,19.680,0.019,19.672,0.019,19.596,0.067,0.035,6.000
219.8233,29.8548,143905.15+295135.97,12,20.217,0.045,19.286,0.020,19.234,0.020,19.236,0.022,19.347,0.054,0.013,5.700
226.8324,29.4608,150729.46+292732.51,11,21.100,0.074,20.067,0.024,20.024,0.026,20.033,0.029,19.973,0.088,0.025,1.800
233.9860,24.2979,153557.20+241741.65,13,20.356,0.046,19.780,0.019,19.488,0.018,19.386,0.021,19.288,0.057,0.050,32.100
340.8762,-1.5786,224326.16-013516.87,15,20.668,0.061,19.515,0.026,19.352,0.021,19.389,0.022,19.310,0.051,0.061,7.000
2.0018,-2.8591,000758.17-024941.85,20,19.408,0.031,18.938,0.018,18.701,0.018,18.667,0.015,18.646,0.038,0.038,48.500
1.8469,-2.5982,000720.18-023456.03,15,19.472,0.042,19.031,0.019,18.819,0.016,18.783,0.033,18.801,0.039,0.038,0.000
32.1216,-5.8283,020832.20-054928.80,20,19.158,0.032,18.564,0.026,18.306,0.017,18.184,0.019,18.181,0.028,0.022,143.400
338.4687,5.8038,223354.71+054706.61,19,19.226,0.033,19.423,0.021,19.742,0.024,20.056,0.031,20.312,0.132,0.139,2.500
180.0633,40.0319,120015.84+400142.33,13,20.678,0.069,19.636,0.025,19.574,0.024,19.694,0.028,19.615,0.074,0.026,2.000
227.1434,32.7047,150832.77+324212.90,11,20.624,0.049,19.573,0.023,19.496,0.027,19.570,0.026,19.488,0.059,0.020,3.500
144.1467,1.5057,093631.75+012658.81,11,20.978,0.085,19.913,0.023,19.773,0.023,19.719,0.034,19.592,0.095,0.053,11.500
335.9343,12.6045,222352.41+123523.16,11,21.593,0.100,20.585,0.029,20.406,0.027,20.396,0.032,20.157,0.088,0.073,1.300
336.3048,12.9240,222528.28+125441.18,24,18.108,0.016,18.412,0.016,18.807,0.017,19.108,0.023,19.420,0.061,0.080,3.700
336.8537,6.6173,222727.06+063528.39,15,19.703,0.033,19.564,0.026,19.727,0.022,19.892,0.031,20.065,0.111,0.120,15.400
339.6280,7.1395,223824.51+071055.76,25,18.563,0.025,18.863,0.020,19.276,0.016,19.580,0.021,19.805,0.092,0.111,7.800
335.9069,7.7966,222337.28+074438.11,21,18.562,0.023,18.757,0.020,19.163,0.018,19.480,0.023,19.765,0.092,0.111,34.000
27.7999,18.2131,015120.67+181247.94,13,20.395,0.082,19.752,0.027,19.643,0.024,19.717,0.034,19.776,0.116,0.044,20.300
23.3659,16.1879,013326.29+161132.82,12,20.792,0.073,19.892,0.018,19.610,0.035,19.486,0.022,19.378,0.061,0.072,7.600
134.5415,14.1942,085812.50+141345.21,18,19.930,0.039,18.769,0.020,18.653,0.017,18.711,0.020,18.894,0.037,0.042,0.900
144.8050,13.6735,093910.85+134154.10,20,19.458,0.029,18.616,0.027,18.296,0.014,18.184,0.015,18.143,0.025,0.035,47.100
171.3874,8.7270,112536.84+084504.54,20,18.550,0.021,18.714,0.020,19.120,0.019,19.462,0.029,19.562,0.098,0.061,19.600
225.1619,8.9644,150045.94+085753.52,11,21.399,0.107,20.496,0.030,20.475,0.031,20.471,0.042,20.241,0.120,0.035,0.000
229.1553,14.5857,151640.16+143320.58,11,20.700,0.050,19.810,0.020,19.720,0.020,19.730,0.030,19.650,0.070,0.047,0.000
