_RAJ2000 _DEJ2000 PMF SDSS S_N umag e_umag gmag e_gmag rmag e_rmag imag e_imag zmag e_zmag E_B-V_ pm GLON GLAT SpType Teff e_Teff logg e_logg Teff_3D_ e_Teff_3D_ logg_3D_ e_logg_3D_ Mass e_Mass Com Sp _RA.icrs _DE.icrs Plate MJD Fiber RAJ2000 DEJ2000 SNg f_umag f_gmag f_rmag f_imag f_zmag f_pm pmPA Ag GMT Atype log_g_ e_log_g_ chi2 m_Nsp Nsp q_Nsp Type WDcat DR7 Sloan Simbad PMJ _RA _DE file C0 C1 C2 C3 C4 C5 G0 G1 G2 G3 G4 G5 X0 X1 X2 X3 X4 X5 z
8.28120 -0.79260 3586-55181-0214 003310.58-004818.55 13 20.65 0.05 19.68 0.02 19.56 0.03 19.55 0.03 19.49 0.06 0.021 1.90 112.7 -63.3 DA 7757 50 6.578 0.142 7762 50 6.390 0.140 0.167 0.0086 "" Sp 8.2812 -0.7926 3586 55181 214 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00000.fits 15 59 124 96 189 202 3 5 13 6 13 11 6563 4860 4340 4102 3969 3888 0
40.00700 0.35720 3650-55244-0726 024002.92+002050.50 17 20.33 0.05 19.47 0.02 19.31 0.02 19.24 0.02 19.36 0.06 0.030 0.00 170.9 -52.1 DA 7436 45 6.533 0.137 7453 45 6.360 0.140 0.162 0.0084 "" Sp 40.0070 0.3572 3650 55244 726 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00001.fits 29 84 137 226 319 227 5 6 6 8 10 7 6563 4860 4340 4102 3969 3888 0
114.89890 37.71190 3662-55182-0866 073929.46+374511.15 15 20.36 0.05 19.71 0.02 19.45 0.02 19.33 0.02 19.33 0.06 0.064 9.70 181.7 25.2 DA 6410 60 7.755 0.127 6439 60 7.730 0.130 0.467 0.0565 "" Sp 114.8989 37.7119 3662 55182 866 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00002.fits 28 55 97 69 114 116 5 5 16 10 20 14 6563 4860 4340 4102 3969 3888 0
114.40050 39.48120 3664-55245-0350 073738.58+392944.34 13 21.19 0.09 20.02 0.02 19.92 0.02 19.96 0.03 19.93 0.10 0.052 2.60 179.7 25.3 DA 8200 47 6.877 0.091 8192 47 6.660 0.090 0.188 0.0106 "" Sp 114.4005 39.4812 3664 55245 350 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00003.fits 17 57 108 139 147 124 4 6 9 9 8 9 6563 4860 4340 4102 3969 3888 0
126.44540 38.92110 3760-55268-0863 082543.50+385609.99 15 20.06 0.04 19.49 0.02 19.28 0.02 19.25 0.02 19.20 0.04 0.043 49.10 182.6 34.3 DA 6395 52 7.471 0.134 6426 52 7.450 0.130 0.353 0.0445 "" Sp 126.4454 38.9211 3760 55268 863 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00004.fits 36 80 113 112 163 130 6 7 12 16 17 21 6563 4860 4340 4102 3969 3888 0
139.24220 -2.13770 3766-55213-0262 091650.95-021042.78 16 19.97 0.05 19.48 0.02 19.40 0.02 19.43 0.03 19.49 0.09 0.041 24.40 233.6 30.7 DA 8378 43 7.881 0.060 8387 43 7.660 0.060 0.446 0.0254 "" Sp 139.2422 -2.1377 3766 55213 262 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00005.fits 18 59 101 173 130 155 6 7 7 12 10 21 6563 4860 4340 4102 3969 3888 0
186.35720 -1.59680 3792-55212-0604 122526.86-013749.49 13 20.89 0.07 19.96 0.02 19.88 0.02 19.86 0.03 19.99 0.12 0.029 5.80 289.6 60.6 DA 7897 53 6.634 0.144 7897 53 6.430 0.140 0.171 0.0069 "" Sp 186.3572 -1.5968 3792 55212 604 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00006.fits 23 46 91 106 172 190 6 5 8 8 9 12 6563 4860 4340 4102 3969 3888 0
166.20950 0.53790 3836-55302-0968 110440.66+003058.21 14 20.58 0.07 19.54 0.02 19.34 0.02 19.36 0.02 19.31 0.05 0.047 5.50 254.6 53.1 DA 7883 47 6.623 0.131 7883 47 6.420 0.130 0.170 0.0066 "" Sp 166.2095 0.5379 3836 55302 968 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00007.fits 29 68 143 142 210 261 3 7 11 10 9 13 6563 4860 4340 4102 3969 3888 0
177.64500 0.02080 3843-55278-0492 115044.45+000244.30 11 20.60 0.07 19.56 0.03 19.53 0.02 19.54 0.02 19.63 0.06 0.019 0.00 272.1 59.2 DA 9192 58 7.114 0.116 9148 58 6.830 0.120 0.219 0.0208 "" Sp 177.6450 0.0208 3843 55278 492 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00008.fits 17 43 110 114 143 164 7 6 8 9 11 10 6563 4860 4340 4102 3969 3888 0
227.76620 27.60010 3872-55382-0898 151116.46+273601.59 13 20.92 0.07 19.80 0.04 19.68 0.02 19.67 0.02 19.60 0.07 0.035 6.00 42.0 59.1 DA 7865 48 6.820 0.130 7866 48 6.620 0.130 0.181 0.0116 "" Sp 227.7662 27.6001 3872 55382 898 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00009.fits 23 47 102 101 108 138 5 6 10 8 7 11 6563 4860 4340 4102 3969 3888 0
219.82330 29.85480 3873-55277-0002 143905.15+295135.97 12 20.22 0.05 19.29 0.02 19.23 0.02 19.24 0.02 19.35 0.05 0.013 5.70 45.9 66.2 DA 7824 56 6.894 0.143 7827 56 6.700 0.140 0.192 0.0169 "" Sp 219.8233 29.8548 3873 55277 2 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00010.fits 38 115 138 176 195 325 7 9 11 11 11 17 6563 4860 4340 4102 3969 3888 0
226.83240 29.46080 3877-55365-0954 150729.46+292732.51 11 21.10 0.07 20.07 0.02 20.02 0.03 20.03 0.03 19.97 0.09 0.025 1.80 45.5 60.1 DA 7949 60 6.515 0.167 7947 60 6.310 0.170 0.165 0.0055 "" Sp 226.8324 29.4608 3877 55365 954 -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- DA -- -- -- -- -- -- -- DA_high_SN_00011.fits 33 42 100 144 143 135 6 6 13 15 12 10 6563 4860 4340 4102 3969 3888 0
